Date,Day,Time,Weather,Event,Train_Arrival,Waiting_Passengers
2022-03-02,3,10:30,3,0,0,27
2022-03-02,3,10:40,3,1,0,67
2022-03-02,3,10:50,1,0,0,48
2022-03-02,3,11:00,4,1,0,78
2022-03-02,3,11:10,4,1,1,97
2022-03-02,3,11:20,2,1,1,68
2022-03-02,3,11:30,2,0,0,42
2022-03-02,3,12:50,1,1,0,48
2022-03-02,3,13:10,4,1,0,60
2022-03-02,3,13:30,1,0,0,54
2022-03-02,3,13:40,4,0,0,67
2022-03-02,3,14:00,3,1,1,98
2022-03-02,3,14:10,3,0,1,77
2022-03-02,3,14:20,4,1,1,92
2022-03-02,3,14:30,3,1,0,46
2022-03-02,3,15:00,3,1,0,20
2022-03-02,3,16:00,1,0,0,13
2022-03-02,3,17:00,1,1,0,24
2022-03-02,3,17:20,4,1,0,53
2022-03-02,3,17:40,3,1,0,17
2022-03-02,3,07:50,3,1,1,68
2022-03-02,3,07:55,3,0,0,43
2022-03-02,3,08:00,1,1,1,73
2022-03-02,3,08:05,4,0,1,21
2022-03-02,3,08:10,4,1,1,110
2022-03-02,3,08:15,4,1,1,115
2022-03-02,3,08:20,1,1,1,197
2022-03-02,3,08:25,1,0,1,176
2022-03-02,3,08:30,4,0,1,131
2022-03-02,3,08:35,4,0,1,138
2022-03-02,3,08:40,4,0,1,94
2022-03-02,3,08:45,1,1,1,40
2022-03-02,3,08:50,3,1,0,31
2022-03-02,3,08:55,3,0,0,26
2022-03-02,3,09:00,2,1,0,60
2022-03-02,3,09:05,4,1,0,56
2022-03-03,4,10:30,4,0,0,17
2022-03-03,4,10:40,3,0,0,40
2022-03-03,4,10:50,1,0,0,49
2022-03-03,4,11:00,3,0,0,30
2022-03-03,4,11:10,1,0,1,108
2022-03-03,4,11:20,4,1,1,90
2022-03-03,4,11:30,4,1,0,34
2022-03-03,4,12:50,2,0,0,36
2022-03-03,4,13:10,2,0,0,46
2022-03-03,4,13:30,2,0,0,15
2022-03-03,4,13:40,3,0,0,26
2022-03-03,4,14:00,1,0,1,69
2022-03-03,4,14:10,4,1,1,108
2022-03-03,4,14:20,1,0,1,60
2022-03-03,4,14:30,3,1,0,27
2022-03-03,4,15:00,4,1,0,14
2022-03-03,4,16:00,1,1,0,42
2022-03-03,4,17:00,2,1,0,26
2022-03-03,4,17:20,2,0,0,32
2022-03-03,4,17:40,1,1,0,41
2022-03-03,4,07:50,3,1,1,44
2022-03-03,4,07:55,1,0,0,49
2022-03-03,4,08:00,4,1,1,101
2022-03-03,4,08:05,4,1,1,108
2022-03-03,4,08:10,3,0,1,41
2022-03-03,4,08:15,1,0,1,161
2022-03-03,4,08:20,3,1,1,181
2022-03-03,4,08:25,1,0,1,159
2022-03-03,4,08:30,4,0,1,111
2022-03-03,4,08:35,4,1,1,205
2022-03-03,4,08:40,4,0,1,188
2022-03-03,4,08:45,3,1,1,41
2022-03-03,4,08:50,3,0,0,22
2022-03-03,4,08:55,4,0,0,53
2022-03-03,4,09:00,4,0,0,47
2022-03-03,4,09:05,3,0,0,27
2022-03-04,5,10:30,2,1,0,48
2022-03-04,5,10:50,3,1,0,36
2022-03-04,5,11:00,2,1,0,69
2022-03-04,5,11:10,3,0,1,90
2022-03-04,5,11:20,2,0,1,55
2022-03-04,5,11:30,1,0,0,20
2022-03-04,5,12:50,3,1,0,54
2022-03-04,5,13:10,3,0,0,34
2022-03-04,5,13:40,2,1,0,20
2022-03-04,5,14:00,3,0,1,53
2022-03-04,5,14:10,1,0,1,96
2022-03-04,5,14:20,3,0,1,53
2022-03-04,5,14:30,1,1,0,18
2022-03-04,5,17:00,2,0,0,41
2022-03-04,5,17:20,3,1,0,45
2022-03-04,5,17:40,3,0,0,10
2022-03-04,5,07:50,1,1,1,46
2022-03-04,5,08:00,4,1,1,49
2022-03-04,5,08:10,1,0,1,66
2022-03-04,5,08:15,2,1,1,131
2022-03-04,5,08:20,1,0,1,99
2022-03-04,5,08:25,4,0,1,123
2022-03-04,5,08:30,3,0,1,71
2022-03-04,5,08:35,3,1,1,126
